id,city,state,station,latitude,longitude,aqi,pm25,pm10,no2,o3,co,so2,last_update,fetched_at,HEALTH_RISK_TIER
31,New Delhi,Delhi,"Mandir Marg, Delhi, Delhi, India",28.6139,77.209,86.0,53.0,86.0,4.5,17.3,2.2,13.9,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
32,Gurugram,Haryana,"Sector-51, Gurugram, India",28.4595,77.0266,164.0,164.0,81.0,23.9,10.2,2.3,2.8,2026-06-19 19:00:00,2026-06-19 13:58:01,Moderate
33,Noida,Uttar Pradesh,"Sector-1, Noida, India",28.5355,77.391,119.0,82.0,119.0,9.1,29.4,5.9,5.2,2026-06-19 19:00:00,2026-06-19 13:58:01,Moderate
34,Lucknow,Uttar Pradesh,"Central School, Lucknow, India",26.8467,80.9462,156.0,156.0,89.0,6.0,23.4,4.1,3.2,2026-06-19 19:00:00,2026-06-19 13:58:01,Moderate
35,Kanpur,Uttar Pradesh,"FTI Kidwai Nagar, Kanpur, India",26.4499,80.3319,99.0,99.0,63.0,9.6,5.4,6.2,25.5,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
36,Patna,Bihar,"Muradpur, Patna, India",25.5941,85.1376,297.0,122.0,297.0,1.2,23.2,8.2,5.1,2026-06-19 19:00:00,2026-06-19 13:58:01,Poor
37,Varanasi,Uttar Pradesh,"Maldahiya, Varanasi, India",25.3176,82.9739,85.0,85.0,55.0,0.8,3.8,2.4,12.3,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
38,Agra,Uttar Pradesh,"Manoharpur, Agra, India",27.1767,78.0081,154.0,154.0,65.0,11.4,2.4,3.2,15.6,2026-06-19 19:00:00,2026-06-19 13:58:01,Moderate
39,Chandigarh,Chandigarh,"Sector-25, Chandigarh, India",30.7333,76.7794,146.0,146.0,80.0,1.8,25.2,3.1,4.0,2026-06-19 19:00:00,2026-06-19 13:58:01,Moderate
40,Jaipur,Rajasthan,"Adarsh Nagar, Jaipur, India",26.9124,75.7873,126.0,126.0,69.0,9.4,26.1,5.1,2.9,2026-06-19 19:00:00,2026-06-19 13:58:01,Moderate
41,Mumbai,Maharashtra,"Kurla, Mumbai, India",19.076,72.8777,94.0,94.0,55.0,2.1,11.6,2.2,11.9,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
42,Ahmedabad,Gujarat,"SAC ISRO Satellite, Ahmedabad, India",23.0225,72.5714,98.0,98.0,62.0,12.6,7.1,11.3,2.9,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
43,Pune,Maharashtra,"Nerul, Navi Mumbai, India",18.5204,73.8567,34.0,34.0,18.0,21.9,,,7.3,2026-06-19 19:00:00,2026-06-19 13:58:01,Good
44,Surat,Gujarat,"GIDC, Ankleshwar, India",21.1702,72.8311,68.0,68.0,45.0,8.9,11.2,8.1,7.3,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
45,Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore, India",22.7196,75.8577,59.0,54.0,59.0,34.3,1.2,5.8,3.5,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
46,Nagpur,Maharashtra,"Opp GPO Civil Lines, Nagpur, India",21.1458,79.0882,72.0,72.0,38.0,5.8,13.9,2.2,2.8,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
47,Bhopal,Madhya Pradesh,"T T Nagar, Bhopal, India",23.2599,77.4126,66.0,66.0,61.0,5.8,33.3,6.6,3.2,2026-06-19 19:00:00,2026-06-19 13:58:01,Satisfactory
48,Bengaluru,Karnataka,"Silk Board, Bengaluru, India",12.9716,77.5946,136.0,127.0,136.0,8.3,1.0,17.0,0.9,2026-06-19 19:00:00,2026-06-19 13:58:01,Moderate
