id,city,state,station,latitude,longitude,aqi,pm25,pm10,no2,o3,co,so2,last_update,fetched_at,HEALTH_RISK_TIER
736,Nagpur,Maharashtra,"MIDC Khutala, Chandrapur, India",21.1458,79.0882,63.0,63.0,38.0,5.4,22.1,7.4,3.2,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
737,Bhopal,Madhya Pradesh,"T T Nagar, Bhopal, India",23.2599,77.4126,94.0,94.0,67.0,13.4,11.7,7.1,7.2,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
738,Bengaluru,Karnataka,"BWSSB Kadabesanahalli, Bengaluru, India",12.9716,77.5946,102.0,102.0,50.0,3.5,5.7,6.9,2.3,2026-06-21 22:00:00,2026-06-21 17:14:11,Moderate
739,Hyderabad,Telangana,"Zoo Park, Bahadurpura West, Hyderabad, India",17.385,78.4867,116.0,116.0,62.0,3.6,9.4,8.3,0.7,2026-06-21 22:00:00,2026-06-21 17:14:11,Moderate
740,Chennai,Tamil Nadu,"Manali Village, Chennai, Chennai, India",13.0827,80.2707,115.0,73.0,33.0,2.0,114.8,4.9,4.9,2026-06-21 22:00:00,2026-06-21 17:14:11,Moderate
741,Visakhapatnam,Andhra Pradesh,"GVM Corporation, Visakhapatnam, India",17.6868,83.2185,148.0,148.0,98.0,31.4,4.8,2.8,5.8,2026-06-21 22:00:00,2026-06-21 17:14:11,Moderate
742,Dehradun,Uttarakhand,"Doon University, Dehradun, India",30.3165,78.0322,142.0,142.0,87.0,1.5,25.5,8.6,0.4,2026-06-21 22:00:00,2026-06-21 17:14:11,Moderate
743,Coimbatore,Tamil Nadu,"SIDCO Kurichi, Coimbatore, India",11.0168,76.9558,57.0,57.0,12.0,8.4,8.0,2.2,10.3,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
744,Thiruvananthapuram,Kerala,"Kariavattom, Thiruvananthapuram, India",8.5241,76.9366,84.0,84.0,84.0,2.3,12.4,3.7,4.2,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
745,Kolkata,West Bengal,"Victoria, Kolkata, India",22.5726,88.3639,88.0,88.0,58.0,8.4,10.5,5.9,6.1,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
746,Ranchi,Jharkhand,"Tata Stadium, Jorapokhar, India",23.3441,85.3096,81.0,81.0,64.0,2.9,1.3,7.2,1.7,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
747,Bhubaneswar,Odisha,"Talcher Coalfields, Talcher, India",20.2961,85.8245,83.0,83.0,67.0,11.5,6.6,24.7,13.1,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
748,Guwahati,Assam,"Pan Bazaar, Guwahati, India",26.1445,91.7362,168.0,168.0,103.0,0.1,4.8,7.3,11.4,2026-06-21 22:00:00,2026-06-21 17:14:11,Moderate
749,Shimla,Himachal Pradesh,"HIMUDA Complex Phase-1, Baddi, India",31.1048,77.1734,163.0,163.0,122.0,11.2,18.4,15.0,9.4,2026-06-21 22:00:00,2026-06-21 17:14:11,Moderate
750,Ooty,Tamil Nadu,"Urban, Chamarajanagar, India",11.4102,76.695,51.0,51.0,33.0,5.6,6.3,3.2,1.1,2026-06-21 22:00:00,2026-06-21 17:14:11,Satisfactory
751,New Delhi,Delhi,"Mandir Marg, Delhi, Delhi, India",28.6139,77.209,999.0,166.0,999.0,2.9,12.0,2.6,21.4,2026-06-22 00:00:00,2026-06-21 19:08:32,Severe
752,Gurugram,Haryana,"Sector-51, Gurugram, India",28.4595,77.0266,486.0,443.0,486.0,15.9,7.0,2.2,2.5,2026-06-22 00:00:00,2026-06-21 19:08:32,Severe
753,Noida,Uttar Pradesh,"Sector-1, Noida, India",28.5355,77.391,999.0,160.0,999.0,6.3,22.5,3.1,2.6,2026-06-22 00:00:00,2026-06-21 19:08:32,Severe
754,Lucknow,Uttar Pradesh,"Gomti Nagar, Lucknow, India",26.8467,80.9462,154.0,154.0,64.0,3.9,19.0,7.6,4.7,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
755,Kanpur,Uttar Pradesh,"FTI Kidwai Nagar, Kanpur, India",26.4499,80.3319,110.0,110.0,68.0,9.8,5.4,6.1,0.2,2026-06-21 23:00:00,2026-06-21 19:08:32,Moderate
756,Patna,Bihar,"Muradpur, Patna, India",25.5941,85.1376,118.0,118.0,115.0,1.3,5.9,7.6,5.1,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
757,Varanasi,Uttar Pradesh,"Bhelupur, Varanasi, India",25.3176,82.9739,100.0,100.0,95.0,2.9,2.6,2.1,10.7,2026-06-22 00:00:00,2026-06-21 19:08:32,Satisfactory
758,Agra,Uttar Pradesh,"Shahjahan Garden, Agra, India",27.1767,78.0081,360.0,360.0,311.0,3.4,1.5,3.5,10.7,2026-06-22 00:00:00,2026-06-21 19:08:32,Very Poor
759,Chandigarh,Chandigarh,"Sector-25, Chandigarh, India",30.7333,76.7794,127.0,127.0,89.0,1.3,22.4,2.1,3.1,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
760,Jaipur,Rajasthan,"Adarsh Nagar, Jaipur, India",26.9124,75.7873,121.0,121.0,71.0,13.6,16.5,5.0,12.9,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
761,Mumbai,Maharashtra,"Chakala-Andheri East, Mumbai, India",19.076,72.8777,143.0,63.0,143.0,8.2,11.0,0.4,6.7,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
762,Ahmedabad,Gujarat,"Maninagar, Ahmedabad, India",23.0225,72.5714,77.0,77.0,54.0,7.3,11.2,20.6,54.7,2026-06-22 00:00:00,2026-06-21 19:08:32,Satisfactory
763,Pune,Maharashtra,"Nerul, Navi Mumbai, India",18.5204,73.8567,42.0,42.0,21.0,21.9,,,7.3,2026-06-22 00:00:00,2026-06-21 19:08:32,Good
764,Surat,Gujarat,"GIDC, Ankleshwar, India",21.1702,72.8311,72.0,72.0,41.0,9.1,6.6,7.4,7.4,2026-06-22 00:00:00,2026-06-21 19:08:32,Satisfactory
765,Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore, India",22.7196,75.8577,75.0,75.0,64.0,53.1,1.0,6.1,5.1,2026-06-21 23:00:00,2026-06-21 19:08:32,Satisfactory
766,Nagpur,Maharashtra,"MIDC Khutala, Chandrapur, India",21.1458,79.0882,63.0,63.0,46.0,5.4,18.4,7.1,2.9,2026-06-21 23:00:00,2026-06-21 19:08:32,Satisfactory
767,Bhopal,Madhya Pradesh,"T T Nagar, Bhopal, India",23.2599,77.4126,93.0,93.0,72.0,16.3,4.5,9.1,7.5,2026-06-22 00:00:00,2026-06-21 19:08:32,Satisfactory
768,Bengaluru,Karnataka,"BWSSB Kadabesanahalli, Bengaluru, India",12.9716,77.5946,102.0,102.0,49.0,1.3,7.7,7.1,2.3,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
769,Hyderabad,Telangana,"Zoo Park, Bahadurpura West, Hyderabad, India",17.385,78.4867,112.0,112.0,61.0,3.6,10.0,4.4,0.9,2026-06-21 23:00:00,2026-06-21 19:08:32,Moderate
770,Chennai,Tamil Nadu,"Manali Village, Chennai, Chennai, India",13.0827,80.2707,135.0,56.0,12.0,2.0,134.5,5.1,4.9,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
771,Visakhapatnam,Andhra Pradesh,"GVM Corporation, Visakhapatnam, India",17.6868,83.2185,151.0,151.0,103.0,14.9,10.2,2.8,2.7,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
773,Coimbatore,Tamil Nadu,"SIDCO Kurichi, Coimbatore, India",11.0168,76.9558,51.0,51.0,9.0,8.2,8.0,2.3,10.2,2026-06-22 00:00:00,2026-06-21 19:08:32,Satisfactory
774,Thiruvananthapuram,Kerala,"Kariavattom, Thiruvananthapuram, India",8.5241,76.9366,87.0,87.0,79.0,2.5,12.4,4.0,4.5,2026-06-21 23:00:00,2026-06-21 19:08:32,Satisfactory
775,Kolkata,West Bengal,"Victoria, Kolkata, India",22.5726,88.3639,91.0,91.0,57.0,8.4,8.0,6.0,6.2,2026-06-21 23:00:00,2026-06-21 19:08:32,Satisfactory
776,Ranchi,Jharkhand,"Tata Stadium, Jorapokhar, India",23.3441,85.3096,81.0,81.0,58.0,2.9,1.5,7.2,1.7,2026-06-21 23:00:00,2026-06-21 19:08:32,Satisfactory
777,Bhubaneswar,Odisha,"Talcher Coalfields, Talcher, India",20.2961,85.8245,104.0,104.0,62.0,12.2,6.3,24.3,14.3,2026-06-21 23:00:00,2026-06-21 19:08:32,Moderate
778,Guwahati,Assam,"Pan Bazaar, Guwahati, India",26.1445,91.7362,456.0,364.0,456.0,0.2,4.3,7.6,11.8,2026-06-22 00:00:00,2026-06-21 19:08:32,Severe
779,Shimla,Himachal Pradesh,"HIMUDA Complex Phase-1, Baddi, India",31.1048,77.1734,188.0,188.0,181.0,2.7,37.3,7.3,8.3,2026-06-22 00:00:00,2026-06-21 19:08:32,Moderate
780,Ooty,Tamil Nadu,"Urban, Chamarajanagar, India",11.4102,76.695,51.0,51.0,33.0,5.5,6.3,3.1,1.1,2026-06-22 00:00:00,2026-06-21 19:08:32,Satisfactory
781,New Delhi,Delhi,"Mandir Marg, Delhi, Delhi, India",28.6139,77.209,593.0,140.0,593.0,7.1,7.2,2.5,4.8,2026-06-22 02:00:00,2026-06-21 21:00:49,Severe
782,Gurugram,Haryana,"Sector-51, Gurugram, India",28.4595,77.0266,259.0,259.0,172.0,12.0,4.8,0.6,2.2,2026-06-22 02:00:00,2026-06-21 21:00:49,Poor
783,Noida,Uttar Pradesh,"Sector-116, Noida, India",28.5355,77.391,808.0,132.0,808.0,11.9,22.9,8.3,13.4,2026-06-22 02:00:00,2026-06-21 21:00:49,Severe
784,Lucknow,Uttar Pradesh,"Lalbagh, West Lucknow, Lucknow, India",26.8467,80.9462,99.0,99.0,60.0,7.0,8.2,6.8,0.4,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
785,Kanpur,Uttar Pradesh,"FTI Kidwai Nagar, Kanpur, India",26.4499,80.3319,77.0,77.0,51.0,9.8,5.4,5.8,0.9,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
786,Patna,Bihar,"Muradpur, Patna, India",25.5941,85.1376,122.0,122.0,89.0,1.3,2.5,8.9,5.2,2026-06-22 02:00:00,2026-06-21 21:00:49,Moderate
787,Varanasi,Uttar Pradesh,"Maldahiya, Varanasi, India",25.3176,82.9739,81.0,81.0,45.0,1.4,2.3,2.2,12.1,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
788,Agra,Uttar Pradesh,"Shahjahan Garden, Agra, India",27.1767,78.0081,999.0,811.0,999.0,3.5,0.1,3.5,11.3,2026-06-22 02:00:00,2026-06-21 21:00:49,Severe
789,Chandigarh,Chandigarh,"Sector-25, Chandigarh, India",30.7333,76.7794,99.0,99.0,65.0,2.6,7.8,2.2,4.3,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
790,Jaipur,Rajasthan,"Adarsh Nagar, Jaipur, India",26.9124,75.7873,139.0,139.0,62.0,10.6,14.6,6.3,14.1,2026-06-22 02:00:00,2026-06-21 21:00:49,Moderate
791,Mumbai,Maharashtra,"Kurla, Mumbai, India",19.076,72.8777,98.0,98.0,57.0,2.3,11.6,2.8,11.9,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
792,Ahmedabad,Gujarat,"SAC ISRO Satellite, Ahmedabad, India",23.0225,72.5714,107.0,107.0,60.0,12.4,3.4,0.4,2.9,2026-06-22 02:00:00,2026-06-21 21:00:49,Moderate
793,Pune,Maharashtra,"Nerul, Navi Mumbai, India",18.5204,73.8567,17.0,17.0,21.0,21.9,,,7.3,2026-06-22 02:00:00,2026-06-21 21:00:49,Good
794,Surat,Gujarat,"GIDC, Ankleshwar, India",21.1702,72.8311,74.0,74.0,37.0,9.0,7.4,7.3,7.3,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
795,Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore, India",22.7196,75.8577,66.0,66.0,60.0,53.4,1.0,4.8,4.7,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
796,Nagpur,Maharashtra,"MIDC Khutala, Chandrapur, India",21.1458,79.0882,66.0,66.0,44.0,5.3,14.6,6.8,2.8,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
797,Bhopal,Madhya Pradesh,"T T Nagar, Bhopal, India",23.2599,77.4126,85.0,85.0,64.0,13.2,20.8,2.8,4.3,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
798,Bengaluru,Karnataka,"BWSSB Kadabesanahalli, Bengaluru, India",12.9716,77.5946,103.0,103.0,50.0,1.0,7.4,6.9,2.3,2026-06-22 02:00:00,2026-06-21 21:00:49,Moderate
800,Chennai,Tamil Nadu,"Manali Village, Chennai, Chennai, India",13.0827,80.2707,143.0,21.0,29.0,0.8,142.9,5.0,4.7,2026-06-22 02:00:00,2026-06-21 21:00:49,Moderate
801,Visakhapatnam,Andhra Pradesh,"GVM Corporation, Visakhapatnam, India",17.6868,83.2185,91.0,91.0,82.0,21.7,7.9,0.4,5.7,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
803,Coimbatore,Tamil Nadu,"SIDCO Kurichi, Coimbatore, India",11.0168,76.9558,24.0,24.0,9.0,8.2,8.1,2.3,10.2,2026-06-22 02:00:00,2026-06-21 21:00:49,Good
804,Thiruvananthapuram,Kerala,"Kariavattom, Thiruvananthapuram, India",8.5241,76.9366,84.0,84.0,62.0,2.5,12.3,3.8,4.2,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
805,Kolkata,West Bengal,"Victoria, Kolkata, India",22.5726,88.3639,93.0,93.0,59.0,8.5,10.2,5.7,3.9,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
806,Ranchi,Jharkhand,"Tata Stadium, Jorapokhar, India",23.3441,85.3096,80.0,80.0,47.0,2.9,1.0,7.1,1.7,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
807,Bhubaneswar,Odisha,"Talcher Coalfields, Talcher, India",20.2961,85.8245,173.0,173.0,69.0,15.7,7.2,25.1,19.4,2026-06-22 02:00:00,2026-06-21 21:00:49,Moderate
808,Guwahati,Assam,"Pan Bazaar, Guwahati, India",26.1445,91.7362,757.0,488.0,757.0,0.1,5.3,4.9,11.2,2026-06-22 02:00:00,2026-06-21 21:00:49,Severe
809,Shimla,Himachal Pradesh,"HIMUDA Complex Phase-1, Baddi, India",31.1048,77.1734,83.0,83.0,58.0,1.5,36.5,7.3,6.5,2026-06-22 02:00:00,2026-06-21 21:00:49,Satisfactory
810,Ooty,Tamil Nadu,"Urban, Chamarajanagar, India",11.4102,76.695,49.0,49.0,32.0,5.6,5.9,3.2,1.0,2026-06-22 02:00:00,2026-06-21 21:00:49,Good
811,New Delhi,Delhi,"Mandir Marg, Delhi, Delhi, India",28.6139,77.209,334.0,35.0,334.0,7.5,5.2,1.9,13.4,2026-06-22 04:00:00,2026-06-21 22:56:24,Very Poor
812,Gurugram,Haryana,"Sector-51, Gurugram, India",28.4595,77.0266,258.0,258.0,172.0,14.6,4.8,0.6,2.3,2026-06-22 04:00:00,2026-06-21 22:56:24,Poor
813,Noida,Uttar Pradesh,"Sector-116, Noida, India",28.5355,77.391,540.0,117.0,540.0,11.8,20.1,9.1,7.6,2026-06-22 03:00:00,2026-06-21 22:56:24,Severe
814,Lucknow,Uttar Pradesh,"Lalbagh, West Lucknow, Lucknow, India",26.8467,80.9462,111.0,111.0,56.0,6.3,8.7,7.6,2.2,2026-06-22 04:00:00,2026-06-21 22:56:24,Moderate
815,Kanpur,Uttar Pradesh,"FTI Kidwai Nagar, Kanpur, India",26.4499,80.3319,76.0,76.0,50.0,9.8,5.4,5.9,0.7,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
816,Patna,Bihar,"Muradpur, Patna, India",25.5941,85.1376,123.0,123.0,103.0,1.4,2.1,9.4,5.2,2026-06-22 04:00:00,2026-06-21 22:56:24,Moderate
817,Varanasi,Uttar Pradesh,"Bhelupur, Varanasi, India",25.3176,82.9739,72.0,72.0,68.0,2.9,1.9,0.8,10.6,2026-06-22 04:00:00,2026-06-21 22:56:24,Satisfactory
818,Agra,Uttar Pradesh,"Shahjahan Garden, Agra, India",27.1767,78.0081,999.0,792.0,999.0,3.4,0.1,3.5,11.0,2026-06-22 03:00:00,2026-06-21 22:56:24,Severe
819,Chandigarh,Chandigarh,"Sector-25, Chandigarh, India",30.7333,76.7794,82.0,82.0,57.0,2.9,5.3,2.2,4.2,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
820,Jaipur,Rajasthan,"Shastri Nagar, Jaipur, India",26.9124,75.7873,121.0,121.0,58.0,15.5,9.0,4.3,4.5,2026-06-22 03:00:00,2026-06-21 22:56:24,Moderate
821,Mumbai,Maharashtra,"Sion, Mumbai, India",19.076,72.8777,572.0,388.0,572.0,20.8,13.4,2.9,1.8,2026-06-22 03:00:00,2026-06-21 22:56:24,Severe
822,Ahmedabad,Gujarat,"SAC ISRO Satellite, Ahmedabad, India",23.0225,72.5714,114.0,114.0,62.0,11.7,3.3,0.4,3.5,2026-06-22 03:00:00,2026-06-21 22:56:24,Moderate
823,Pune,Maharashtra,"Nerul, Navi Mumbai, India",18.5204,73.8567,45.0,45.0,21.0,21.9,,,7.3,2026-06-22 03:00:00,2026-06-21 22:56:24,Good
824,Surat,Gujarat,"GIDC, Ankleshwar, India",21.1702,72.8311,73.0,73.0,36.0,8.9,8.3,7.6,7.1,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
825,Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore, India",22.7196,75.8577,65.0,65.0,61.0,53.5,0.9,4.7,4.5,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
826,Nagpur,Maharashtra,"MIDC Khutala, Chandrapur, India",21.1458,79.0882,64.0,64.0,39.0,5.0,13.6,7.6,2.3,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
827,Bhopal,Madhya Pradesh,"T T Nagar, Bhopal, India",23.2599,77.4126,79.0,79.0,58.0,9.1,25.1,2.8,4.8,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
828,Bengaluru,Karnataka,"Bapuji Nagar, Bengaluru, India",12.9716,77.5946,107.0,107.0,52.0,8.6,8.6,2.1,4.7,2026-06-22 04:00:00,2026-06-21 22:56:24,Moderate
829,Hyderabad,Telangana,"Somajiguda, Hyderabad, India",17.385,78.4867,152.0,152.0,62.0,5.4,12.3,5.7,4.8,2026-06-22 04:00:00,2026-06-21 22:56:24,Moderate
830,Chennai,Tamil Nadu,"Manali Village, Chennai, Chennai, India",13.0827,80.2707,146.0,44.0,26.0,0.8,145.6,4.8,6.0,2026-06-22 04:00:00,2026-06-21 22:56:24,Moderate
831,Visakhapatnam,Andhra Pradesh,"GVM Corporation, Visakhapatnam, India",17.6868,83.2185,77.0,72.0,77.0,29.9,4.4,2.2,11.6,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
833,Coimbatore,Tamil Nadu,"SIDCO Kurichi, Coimbatore, India",11.0168,76.9558,10.0,9.0,9.0,8.1,7.9,2.3,10.0,2026-06-22 04:00:00,2026-06-21 22:56:24,Good
834,Thiruvananthapuram,Kerala,"Kariavattom, Thiruvananthapuram, India",8.5241,76.9366,87.0,87.0,31.0,2.3,12.3,4.2,4.5,2026-06-22 04:00:00,2026-06-21 22:56:24,Satisfactory
835,Kolkata,West Bengal,"Victoria, Kolkata, India",22.5726,88.3639,108.0,108.0,58.0,8.5,8.1,5.8,3.7,2026-06-22 04:00:00,2026-06-21 22:56:24,Moderate
836,Ranchi,Jharkhand,"Tata Stadium, Jorapokhar, India",23.3441,85.3096,80.0,80.0,41.0,3.0,0.9,7.1,1.7,2026-06-22 04:00:00,2026-06-21 22:56:24,Satisfactory
837,Bhubaneswar,Odisha,"Talcher Coalfields, Talcher, India",20.2961,85.8245,150.0,150.0,54.0,16.1,7.1,26.2,17.5,2026-06-22 04:00:00,2026-06-21 22:56:24,Moderate
838,Guwahati,Assam,"Pan Bazaar, Guwahati, India",26.1445,91.7362,895.0,540.0,895.0,0.2,5.6,4.0,11.5,2026-06-22 04:00:00,2026-06-21 22:56:24,Severe
839,Shimla,Himachal Pradesh,"HIMUDA Complex Phase-1, Baddi, India",31.1048,77.1734,89.0,89.0,60.0,3.1,32.4,8.0,7.3,2026-06-22 03:00:00,2026-06-21 22:56:24,Satisfactory
840,Ooty,Tamil Nadu,"Urban, Chamarajanagar, India",11.4102,76.695,52.0,52.0,34.0,5.7,6.6,3.0,1.1,2026-06-22 04:00:00,2026-06-21 22:56:24,Satisfactory
841,New Delhi,Delhi,"Mandir Marg, Delhi, Delhi, India",28.6139,77.209,223.0,97.0,223.0,7.3,6.9,2.1,6.4,2026-06-22 05:00:00,2026-06-22 00:03:33,Poor
842,Gurugram,Haryana,"Sector-51, Gurugram, India",28.4595,77.0266,233.0,233.0,154.0,15.2,4.9,2.3,2.2,2026-06-22 05:00:00,2026-06-22 00:03:33,Poor
843,Noida,Uttar Pradesh,"Sector-116, Noida, India",28.5355,77.391,417.0,100.0,417.0,10.7,17.7,8.0,4.4,2026-06-22 05:00:00,2026-06-22 00:03:33,Severe
844,Lucknow,Uttar Pradesh,"Lalbagh, West Lucknow, Lucknow, India",26.8467,80.9462,115.0,115.0,53.0,6.9,8.4,5.3,2.2,2026-06-22 05:00:00,2026-06-22 00:03:33,Moderate
845,Kanpur,Uttar Pradesh,"FTI Kidwai Nagar, Kanpur, India",26.4499,80.3319,86.0,86.0,56.0,9.9,5.4,6.2,0.7,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
846,Patna,Bihar,"Muradpur, Patna, India",25.5941,85.1376,120.0,120.0,92.0,1.1,2.3,10.1,5.2,2026-06-22 05:00:00,2026-06-22 00:03:33,Moderate
847,Varanasi,Uttar Pradesh,"Bhelupur, Varanasi, India",25.3176,82.9739,74.0,74.0,70.0,2.9,1.5,0.7,10.8,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
848,Agra,Uttar Pradesh,"Shahjahan Garden, Agra, India",27.1767,78.0081,999.0,999.0,999.0,2.7,0.1,3.5,8.3,2026-06-22 04:00:00,2026-06-22 00:03:33,Severe
849,Chandigarh,Chandigarh,"Sector-25, Chandigarh, India",30.7333,76.7794,85.0,85.0,52.0,2.8,9.2,1.8,2.6,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
850,Jaipur,Rajasthan,"Adarsh Nagar, Jaipur, India",26.9124,75.7873,124.0,124.0,62.0,11.9,11.3,7.2,4.7,2026-06-22 05:00:00,2026-06-22 00:03:33,Moderate
851,Mumbai,Maharashtra,"Sion, Mumbai, India",19.076,72.8777,999.0,837.0,999.0,19.5,13.4,2.9,1.8,2026-06-22 05:00:00,2026-06-22 00:03:33,Severe
852,Ahmedabad,Gujarat,"SAC ISRO Satellite, Ahmedabad, India",23.0225,72.5714,99.0,99.0,56.0,11.3,3.3,0.4,3.7,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
853,Pune,Maharashtra,"Nerul, Navi Mumbai, India",18.5204,73.8567,25.0,25.0,14.0,21.9,,,7.3,2026-06-22 05:00:00,2026-06-22 00:03:33,Good
854,Surat,Gujarat,"GIDC, Ankleshwar, India",21.1702,72.8311,66.0,66.0,41.0,8.9,8.8,7.8,7.0,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
855,Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore, India",22.7196,75.8577,57.0,57.0,54.0,52.4,1.0,4.4,4.4,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
856,Nagpur,Maharashtra,"MIDC Khutala, Chandrapur, India",21.1458,79.0882,61.0,61.0,50.0,5.4,11.3,7.4,3.0,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
857,Bhopal,Madhya Pradesh,"Paryavaran Parisar, Bhopal, India",23.2599,77.4126,76.0,76.0,51.0,4.3,12.5,1.1,7.2,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
858,Bengaluru,Karnataka,"BWSSB Kadabesanahalli, Bengaluru, India",12.9716,77.5946,101.0,101.0,49.0,0.8,7.2,7.0,2.3,2026-06-22 05:00:00,2026-06-22 00:03:33,Moderate
860,Chennai,Tamil Nadu,"Manali Village, Chennai, Chennai, India",13.0827,80.2707,141.0,57.0,21.0,2.4,140.7,4.5,5.4,2026-06-22 05:00:00,2026-06-22 00:03:33,Moderate
861,Visakhapatnam,Andhra Pradesh,"GVM Corporation, Visakhapatnam, India",17.6868,83.2185,75.0,75.0,75.0,12.1,12.2,2.0,5.3,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
863,Coimbatore,Tamil Nadu,"SIDCO Kurichi, Coimbatore, India",11.0168,76.9558,10.0,1.0,9.0,8.4,8.0,2.4,10.2,2026-06-22 05:00:00,2026-06-22 00:03:33,Good
864,Thiruvananthapuram,Kerala,"Kariavattom, Thiruvananthapuram, India",8.5241,76.9366,84.0,84.0,23.0,2.4,12.3,3.8,4.2,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
865,Kolkata,West Bengal,"Victoria, Kolkata, India",22.5726,88.3639,107.0,107.0,61.0,8.6,9.9,5.2,4.3,2026-06-22 05:00:00,2026-06-22 00:03:33,Moderate
866,Ranchi,Jharkhand,"Tata Stadium, Jorapokhar, India",23.3441,85.3096,81.0,81.0,49.0,2.9,0.8,7.0,1.7,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
867,Bhubaneswar,Odisha,"Talcher Coalfields, Talcher, India",20.2961,85.8245,31.0,16.0,31.0,15.6,6.8,26.0,15.6,2026-06-22 05:00:00,2026-06-22 00:03:33,Good
869,Shimla,Himachal Pradesh,"HIMUDA Complex Phase-1, Baddi, India",31.1048,77.1734,112.0,112.0,72.0,3.0,30.1,7.1,7.4,2026-06-22 05:00:00,2026-06-22 00:03:33,Moderate
870,Ooty,Tamil Nadu,"Urban, Chamarajanagar, India",11.4102,76.695,51.0,51.0,33.0,5.6,6.3,3.1,1.1,2026-06-22 05:00:00,2026-06-22 00:03:33,Satisfactory
871,New Delhi,Delhi,"Mandir Marg, Delhi, Delhi, India",28.6139,77.209,127.0,12.0,127.0,3.6,18.1,2.8,17.2,2026-06-22 11:00:00,2026-06-22 06:15:38,Moderate
872,Gurugram,Haryana,"Sector-51, Gurugram, India",28.4595,77.0266,176.0,176.0,97.0,9.5,18.8,0.7,2.4,2026-06-22 11:00:00,2026-06-22 06:15:38,Moderate
873,Noida,Uttar Pradesh,"Sector-1, Noida, India",28.5355,77.391,159.0,75.0,159.0,7.5,40.4,3.9,6.0,2026-06-22 11:00:00,2026-06-22 06:15:38,Moderate
874,Lucknow,Uttar Pradesh,"Talkatora, Lucknow, India",26.8467,80.9462,158.0,158.0,84.0,12.8,30.3,4.8,8.8,2026-06-22 11:00:00,2026-06-22 06:15:38,Moderate
875,Kanpur,Uttar Pradesh,"FTI Kidwai Nagar, Kanpur, India",26.4499,80.3319,116.0,116.0,71.0,9.7,5.4,6.3,0.7,2026-06-22 11:00:00,2026-06-22 06:15:38,Moderate
876,Patna,Bihar,"Muradpur, Patna, India",25.5941,85.1376,118.0,118.0,77.0,1.2,16.9,8.7,5.1,2026-06-22 11:00:00,2026-06-22 06:15:38,Moderate
